schema:givenName,schema:telephone,schema:email,schema:url,schema:name,schema:identifier,schema:address
"Lopez, Raymond A.",(773) 823-1539,Ward15@cityofchicago.org,http://www.the15thward.org,Ward 15,Chicago_Ward_15,"6412 South Ashland Avenue Chicago, IL 60636"
"Maldonado, Roberto",(773) 395-0143,Ward26@cityofchicago.org,http://robertomaldonado.com,Ward 26,Chicago_Ward_26,"2511 West Division Street Chicago, IL 60622"
"Martin, Matthew J.",(773) 868-4747,Ward47@cityofchicago.org,http://www.aldermanmartin.com,Ward 47,Chicago_Ward_47,"4243 North Lincoln Avenue Chicago, IL 60618"
"Mitchell, Gregory I.",(773) 731-7777,Alderman@gregmitchell7thward.org,http://www.gregmitchell7thward.org/,Ward 7,Chicago_Ward_7,"2249 East 95th Street Chicago, IL 60617"
"Mitts, Emma",(773) 379-0960,Ward37@cityofchicago.org,https://www.cityofchicago.org/city/en/about/wards/37.html,Ward 37,Chicago_Ward_37,"4924 West Chicago Avenue Chicago, IL 60651"
"Moore, David H.",(773) 783-3672,David.Moore@cityofchicago.org,http://www.David.Moore@cityofchicago.org,Ward 17,Chicago_Ward_17,"1344 West 79th Street Chicago, IL 60636"
"Napolitano, Anthony V.",(773) 631-2241,Ward41@cityofchicago.org,http://www.chicago41.com,Ward 41,Chicago_Ward_41,"7442 North Harlem Avenue Chicago, IL 60631"
"Nugent, Samantha",(773) 736-5594,,http://www.ward39@cityofchicago.org,Ward 39,Chicago_Ward_39,"4200 West Lawrence Avenue Chicago, IL 60630"
"O'Shea, Matthew J.",(773) 238-8766,Ward19@cityofchicago.org,http://the19thward.com/,Ward 19,Chicago_Ward_19,"10400 South Western Avenue Chicago, IL 60643"
"Osterman, Harry",(773) 784-5277,Ward48@cityofchicago.org,http://www.48thward.org,Ward 48,Chicago_Ward_48,"5533 North Broadway Chicago, IL 60640"
"Quinn, Marty",(773) 581-8000,Ward13@cityofchicago.org,http://www.madigan-quinn.com/,Ward 13,Chicago_Ward_13,"6500 South Pulaski Road Chicago, IL 60629"
"Ramirez-Rosa, Carlos",(773) 887-3772,Ward35@cityofchicago.org,http://www.aldermancarlosrosa.org,Ward 35,Chicago_Ward_35,"2934 North Milwaukee Avenue, Unit C Chicago, IL 60618"
"Reboyras, Ariel",(773) 794-3095,Ward30@cityofchicago.org,https://www.30thwardchicago.com/,Ward 30,Chicago_Ward_30,"3559 North Milwaukee Avenue Chicago, IL 60641"
"Reilly, Brendan",,,,Ward 42,Chicago_Ward_42,NA
"Rodriguez Sanchez, Rossana",(773) 840-7880,Info@33rdward.org,,Ward 33,Chicago_Ward_33,"3001 West Irving Park Road Chicago, IL 60618"
"Rodriguez, Michael D.",(773) 762-1771,Ward22@cityofchicago.org,,Ward 22,Chicago_Ward_22,"2500 South St. Louis Avenue Chicago, IL 60623"
"Sadlowski Garza, Susan",(773) 768-8138,Ward10@cityofchicago.org,https://www.aldssg.com/,Ward 10,Chicago_Ward_10,"10500 South Ewing Avenue, 1st Floor Chicago, IL 60617"
"Sawyer, Roderick T.",(773) 635-0006,Ward06@cityofchicago.org,http://www.6ward.com,Ward 6,Chicago_Ward_6,"700 East 79th Street Chicago, IL 60619"
"Scott, Jr. Michael",(773) 533-2400,Ward24@cityofchicago.org,http://www.aldermanscott.com,Ward 24,Chicago_Ward_24,"1158 South Keeler Street Chicago, IL 60624"
"Sigcho-Lopez, Byron",(773) 523-4100,Ward25@cityofchicago.org,https://www.25thward.org,Ward 25,Chicago_Ward_25,"1508 West 18th Street Chicago, IL 60608"
"Silverstein, Debra L.",(773) 262-1050,Ward50@cityofchicago.org,http://50thwardchicago.com,Ward 50,Chicago_Ward_50,"2949 West Devon Avenue Chicago, IL 60659"
"Smith, Michele",(773) 348-9500,Ward43@cityofchicago.org,http://www.ward43.org/,Ward 43,Chicago_Ward_43,"2523 North Halsted Street Chicago, IL 60614"
"Sposato, Nicholas",(773) 283-3838,Ward38@cityofchicago.org,http://aldermansposato.com/,Ward 38,Chicago_Ward_38,"3821 North Harlem Avenue Chicago, IL 60634"
"Tabares, Silvana",(773) 582-4444,Ward23@cityofchicago.org,,Ward 23,Chicago_Ward_23,"6247 South Archer Avenue Chicago, IL 60638"
"Taliaferro, Chris",(773) 417-3302,Ward29@cityofchicago.org,http://www.aldtaliaferro.com,Ward 29,Chicago_Ward_29,"6272 West North Avenue Chicago, IL 60639"
"Taylor, Jeanette B.",(773) 966-5336,Jeanette.Taylor@cityofchicago.org,,Ward 20,Chicago_Ward_20,"5707 South Wentworth Avenue Chicago, IL 60621"
"Tunney, Thomas",(773) 525-6034,Ward44@cityofchicago.org,http://44thward.org/,Ward 44,Chicago_Ward_44,"3223 North Sheffield Avenue, Suite A Chicago, IL 60657"
"Vasquez, Jr., Andre",(773) 654-1867,Info@40thward.org,http://www.40thward.org,Ward 40,Chicago_Ward_40,"5620 North Western Avenue Chicago, IL 60659"
"Villegas, Gilbert",(773) 745-4636,Ward36@cityofchicago.org,http://www.36thward.org,Ward 36,Chicago_Ward_36,"6560 West Fullerton Avenue, No. C118 - Suite A Chicago, IL 60707"
"Waguespack, Scott",(773) 248-1330,Ward32@cityofchicago.org,http://www.ward32.org,Ward 32,Chicago_Ward_32,"2657 North Clybourn Avenue Chicago, IL 60614"
